setting,cosine_alignment
independent,0.25084641575813293
independent,0.3736873269081116
independent,0.2717745304107666
independent,0.19834722578525543
independent,0.3216641843318939
independent,0.21745246648788452
independent,0.315257728099823
independent,0.22925561666488647
independent,0.15977895259857178
independent,0.2316632866859436
independent,0.36760807037353516
independent,0.32232195138931274
independent,0.37697669863700867
independent,0.26075464487075806
independent,0.2521304488182068
independent,0.17306259274482727
independent,0.39023923873901367
independent,0.25874000787734985
independent,0.25596556067466736
independent,0.27674776315689087
independent,0.34984076023101807
independent,0.3928420841693878
independent,0.37198859453201294
independent,0.3990628719329834
independent,0.24373680353164673
independent,0.21494047343730927
independent,0.39495378732681274
independent,0.2900608479976654
independent,0.2782883048057556
independent,0.2996506989002228
independent,0.22083628177642822
independent,0.299598753452301
independent,0.390460729598999
independent,0.271731972694397
independent,0.17682763934135437
independent,0.18219110369682312
independent,0.32176631689071655
independent,0.3445627987384796
independent,0.4372279644012451
independent,0.17638246715068817
independent,0.24020999670028687
independent,0.30714547634124756
independent,0.3024725914001465
independent,0.2952864170074463
independent,0.29937562346458435
independent,0.22279249131679535
independent,0.2890358567237854
independent,0.23339757323265076
independent,0.2553272843360901
independent,0.3718160390853882
independent,0.4001258611679077
independent,0.19069302082061768
independent,0.23532454669475555
independent,0.2616698741912842
independent,0.3407551944255829
independent,0.3199029266834259
independent,0.24958105385303497
independent,0.2716708779335022
independent,0.28995978832244873
independent,0.2378251701593399
independent,0.3329908847808838
independent,0.4234422445297241
independent,0.18368792533874512
independent,0.2748039662837982
independent,0.27238279581069946
independent,0.3295977711677551
independent,0.36007457971572876
independent,0.19255632162094116
independent,0.3106995224952698
independent,0.34686005115509033
independent,0.3784903585910797
independent,0.2806100845336914
independent,0.37698233127593994
independent,0.39351221919059753
independent,0.1952092945575714
independent,0.3363044857978821
independent,0.34342819452285767
independent,0.24807746708393097
independent,0.32792550325393677
independent,0.2855148911476135
independent,0.26681792736053467
independent,0.3500894606113434
independent,0.22701622545719147
independent,0.25529563426971436
independent,0.1666078418493271
independent,0.288056343793869
independent,0.3586905002593994
independent,0.2541236877441406
independent,0.2586163878440857
independent,0.2897128462791443
independent,0.2863086462020874
independent,0.2051122784614563
independent,0.17368865013122559
independent,0.385448157787323
independent,0.32545655965805054
independent,0.2429005354642868
independent,0.22555390000343323
independent,0.23103682696819305
independent,0.22448371350765228
independent,0.2981874942779541
independent,0.1904698610305786
independent,0.3326861262321472
independent,0.3855865001678467
independent,0.42382940649986267
independent,0.29546868801116943
independent,0.3421642482280731
independent,0.1558414250612259
independent,0.3223518133163452
independent,0.1901002824306488
independent,0.33973240852355957
independent,0.32905423641204834
independent,0.22488729655742645
independent,0.32384932041168213
independent,0.4007609188556671
independent,0.24852871894836426
independent,0.2801397740840912
independent,0.40504395961761475
independent,0.22339525818824768
independent,0.271190345287323
independent,0.312674343585968
independent,0.3170727491378784
independent,0.2969439625740051
independent,0.29851290583610535
independent,0.29795151948928833
independent,0.33206409215927124
independent,0.3959764838218689
independent,0.28285956382751465
independent,0.2944907248020172
coupled,0.44084808230400085
coupled,0.5048263072967529
coupled,0.4299519658088684
coupled,0.4144674241542816
coupled,0.5171355605125427
coupled,0.33699560165405273
coupled,0.30975109338760376
coupled,0.31008079648017883
coupled,0.326698899269104
coupled,0.3796301782131195
coupled,0.445725679397583
coupled,0.5314576625823975
coupled,0.438856303691864
coupled,0.3106539845466614
coupled,0.37856873869895935
coupled,0.3541432321071625
coupled,0.4579423666000366
coupled,0.37500661611557007
coupled,0.3364099860191345
coupled,0.4102132320404053
coupled,0.43546152114868164
coupled,0.44684678316116333
coupled,0.458117812871933
coupled,0.5065726041793823
coupled,0.3378845155239105
coupled,0.3651218116283417
coupled,0.5628513097763062
coupled,0.4024702310562134
coupled,0.46003469824790955
coupled,0.4990311563014984
coupled,0.36784857511520386
coupled,0.45722508430480957
coupled,0.4172999858856201
coupled,0.4060373902320862
coupled,0.33107808232307434
coupled,0.32764649391174316
coupled,0.4224373996257782
coupled,0.4943353831768036
coupled,0.4650701880455017
coupled,0.32560980319976807
coupled,0.48782676458358765
coupled,0.4067692756652832
coupled,0.5190850496292114
coupled,0.5219318866729736
coupled,0.47832226753234863
coupled,0.3353736698627472
coupled,0.4408707022666931
coupled,0.3907901644706726
coupled,0.4309593439102173
coupled,0.39918965101242065
coupled,0.450298547744751
coupled,0.3275895118713379
coupled,0.4287876486778259
coupled,0.4046013355255127
coupled,0.37658125162124634
coupled,0.4931260645389557
coupled,0.4180517792701721
coupled,0.47216299176216125
coupled,0.47794193029403687
coupled,0.4410005211830139
coupled,0.45266610383987427
coupled,0.5487964153289795
coupled,0.3284885883331299
coupled,0.4469141364097595
coupled,0.3789931833744049
coupled,0.5408912897109985
coupled,0.5454119443893433
coupled,0.3570324182510376
coupled,0.5113222002983093
coupled,0.486233115196228
coupled,0.5471627712249756
coupled,0.4000224471092224
coupled,0.512397289276123
coupled,0.5266337990760803
coupled,0.3164491653442383
coupled,0.5607669353485107
coupled,0.42546093463897705
coupled,0.40721216797828674
coupled,0.42297884821891785
coupled,0.4175257980823517
coupled,0.4110659956932068
coupled,0.46952590346336365
coupled,0.40271854400634766
coupled,0.44171327352523804
coupled,0.26845160126686096
coupled,0.4708872437477112
coupled,0.5569226741790771
coupled,0.4169550836086273
coupled,0.5084470510482788
coupled,0.42419567704200745
coupled,0.47479403018951416
coupled,0.3794105648994446
coupled,0.33976396918296814
coupled,0.40983355045318604
coupled,0.4586271643638611
coupled,0.3570061922073364
coupled,0.43594983220100403
coupled,0.3744024932384491
coupled,0.39477479457855225
coupled,0.474162220954895
coupled,0.3099084198474884
coupled,0.4028773307800293
coupled,0.4661917984485626
coupled,0.4506100118160248
coupled,0.44722574949264526
coupled,0.4294033348560333
coupled,0.3509550094604492
coupled,0.39906489849090576
coupled,0.354436993598938
coupled,0.4056812524795532
coupled,0.46450889110565186
coupled,0.40886449813842773
coupled,0.37785255908966064
coupled,0.4062751531600952
coupled,0.4264303743839264
coupled,0.46080076694488525
coupled,0.5730693340301514
coupled,0.3798913061618805
coupled,0.39773696660995483
coupled,0.4089738726615906
coupled,0.362443745136261
coupled,0.5080242156982422
coupled,0.5203540325164795
coupled,0.3450251817703247
coupled,0.4515722393989563
coupled,0.37463709712028503
coupled,0.48221057653427124
coupled,0.4226043224334717
